step,time_s,coupling_iter,converged
1,0.008,1,False
1,0.008,2,False
1,0.008,3,False
1,0.008,4,False
1,0.008,5,False
1,0.008,6,False
1,0.008,7,False
1,0.008,8,False
1,0.008,9,False
1,0.008,10,False
1,0.008,11,False
1,0.008,12,False
1,0.008,13,False
1,0.008,14,False
1,0.008,15,False
1,0.008,16,False
1,0.008,17,False
1,0.008,18,False
1,0.008,19,False
1,0.008,20,False
1,0.008,21,False
1,0.008,22,False
1,0.008,23,False
1,0.008,24,False
1,0.008,25,False
1,0.008,26,False
1,0.008,27,False
1,0.008,28,False
1,0.008,29,False
1,0.008,30,False
1,0.008,31,False
1,0.008,32,False
1,0.008,33,False
1,0.008,34,False
1,0.008,35,True
